copas,gofres,bebidas,crepes,diaSemana,observacion,helados_inicio,helados_fin
[],[],[],"[{'inicio': '14:33:21,230', 'fin': '14:35:48,439'}]",domingo,,,
[],[],[],[],sábado,,"12:15:15,870","12:15:39,053"
[],[],[],"[{'inicio': '13:18:33,728', 'fin': '13:21:06,057'}]",sábado,,"13:18:50,690","13:19:01,257"
[],[],[],[],domingo,Artesano,"12:00:49,000","12:04:06,527"
[],[],[],[],domingo,,"13:15:50,121","13:16:02,507"
[],[],[],[],sábado,,"13:47:38,515","13:47:56,797"
[],[],[],[],viernes,,"14:28:04,799","14:28:50,895"
"[{'inicio': '13:39:44,850', 'fin': '13:42:56,369'}]",[],[],[],domingo,,,
[],"[{'inicio': '12:58:44,275', 'fin': '13:00:15,609'}]",[],[],sábado,,"12:58:22,542","12:58:43,484"
[],[],[],[],viernes,,"14:23:44,043","14:24:53,494"
[],[],[],[],sábado,,"13:19:04,512","13:19:21,659"
[],[],[],[],domingo,,"14:12:17,040","14:12:39,587"
[],[],[],[],sábado,,"13:00:26,781","13:00:58,063"
"[{'inicio': '12:40:02,688', 'fin': '12:42:08,243'}]",[],[],[],sábado,,,
[],[],[],[],domingo,,"12:22:48,333","12:23:03,195"
[],[],[],[],domingo,,"14:31:20,894","14:31:29,000"
[],[],[],"[{'inicio': '12:52:55,461', 'fin': '12:57:51,769'}]",domingo,,"12:52:21,330","12:52:33,030"
"[{'inicio': '13:29:12,251', 'fin': '13:30:16,028'}, {'inicio': '13:30:42,911', 'fin': '13:32:33,299'}]",[],[],[],viernes,,,
[],[],[],[],domingo,,"11:46:51,287","11:47:17,659"
[],[],[],[],domingo,Artesano,"14:07:28,870","14:10:26,922"
[],[],[],[],sábado,,"13:38:45,357","13:39:02,057"
[],[],[],[],domingo,,"14:28:46,285","14:28:58,774"
[],[],[],[],domingo,,"14:18:01,196","14:18:20,283"
[],[],[],[],sábado,,"12:53:44,911","12:53:58,761"
[],[],[],[],sábado,,"13:32:09,395","13:32:50,726"
"[{'inicio': '12:47:19,469', 'fin': '12:50:10,307'}]",[],[],[],sábado,,,
[],[],[],[],sábado,,"13:49:19,728","13:49:30,895"
"[{'inicio': '13:50:55,102', 'fin': '13:51:26,077'}]",[],[],[],sábado,,,
[],[],[],[],domingo,,"14:34:45,498","14:34:54,889"
[],[],[],[],sábado,,"12:09:50,792","12:10:07,467"
"[{'inicio': '14:59:12,490', 'fin': '15:01:37,592'}]",[],[],[],domingo,,,
[],[],[],[],sábado,,"13:41:58,781","13:42:16,966"
[],[],[],[],domingo,,"14:10:30,977","14:10:54,816"
"[{'inicio': '13:03:07,611', 'fin': '13:04:31,998'}]",[],[],[],sábado,,,
[],[],[],[],viernes,,"13:16:05,898","13:16:22,953"
[],[],[],[],sábado,,"13:22:59,348","13:23:54,336"
[],[],[],[],domingo,,"13:18:40,410","13:18:51,849"
[],[],[],[],domingo,,"13:43:26,789","13:43:34,977"
[],[],"[{'inicio': '13:06:13,833', 'fin': '13:08:47,937'}]","[{'inicio': '13:07:55,763', 'fin': '13:10:33,454'}, {'inicio': '13:13:17,398', 'fin': '13:17:15,893'}, {'inicio': '13:17:16,479', 'fin': '13:19:39,924'}, {'inicio': '13:22:11,217', 'fin': '13:25:52,535'}, {'inicio': '13:27:28,334', 'fin': '13:32:06,515'}]",domingo,,"13:08:53,060","13:09:12,735"
[],[],[],[],sábado,,"12:17:49,815","12:18:14,163"
[],[],[],[],sábado,,"12:28:01,022","12:28:35,563"
[],[],[],[],domingo,,"12:10:53,412","12:11:06,737"
[],[],[],[],viernes,,"14:24:19,918","14:25:07,590"
"[{'inicio': '14:49:44,957', 'fin': '14:50:55,288'}]",[],[],[],domingo,,,
[],[],[],[],domingo,,"14:40:38,283","14:41:04,840"
[],[],[],[],viernes,,"14:05:36,595","14:06:23,078"
[],[],[],[],domingo,,"13:22:19,767","13:22:33,070"
[],[],[],[],domingo,,"14:45:54,625","14:46:00,072"
[],[],[],[],domingo,,"13:43:36,154","13:43:49,473"
[],[],[],"[{'inicio': '12:10:22,997', 'fin': '12:12:41,789'}]",sábado,,,
[],[],[],[],sábado,,"13:39:30,772","13:40:21,263"
[],[],[],[],domingo,,"14:22:38,728","14:23:31,200"
"[{'inicio': '13:04:28,570', 'fin': '13:10:44,195'}]",[],[],[],sábado,,,
[],[],[],[],domingo,,"12:33:39,010","12:33:45,054"
"[{'inicio': '14:04:36,191', 'fin': '14:05:57,252'}]",[],[],[],viernes,,,
[],[],"[{'inicio': '12:54:31,700', 'fin': '12:57:08,094'}]",[],domingo,,,
[],[],[],"[{'inicio': '13:19:51,547', 'fin': '13:32:22,138'}]",domingo,,,
[],[],[],[],sábado,,"13:12:03,656","13:12:18,097"
[],[],[],[],domingo,,"13:21:17,166","13:21:32,306"
[],[],[],[],domingo,,"13:59:59,747","14:00:44,412"
[],[],[],[],sábado,Artrsano,"13:08:55,952","13:13:54,541"
[],[],"[{'inicio': '12:39:22,112', 'fin': '12:43:07,707'}]",[],domingo,Jugo de fruta,,
[],[],[],[],sábado,Artesano,"13:27:12,515","13:29:18,508"
[],[],[],[],sábado,,"12:51:23,854","12:51:46,200"
[],[],[],[],domingo,,"14:33:26,083","14:33:32,277"
"[{'inicio': '14:22:23,127', 'fin': '14:23:37,484'}]",[],[],[],domingo,,,
[],[],[],[],domingo,,"14:04:46,783","14:05:07,827"
[],[],"[{'inicio': '13:02:08,230', 'fin': '13:04:09,165'}]","[{'inicio': '13:05:07,140', 'fin': '13:09:22,154'}]",domingo,Artesano,"12:59:40,076","13:02:35,083"
[],[],"[{'inicio': '12:53:56,283', 'fin': '12:56:13,618'}]",[],domingo,,,
[],[],[],[],viernes,,"13:49:53,790","13:50:24,965"
[],[],[],[],sábado,,"13:17:48,864","13:18:18,417"
[],[],[],[],domingo,,"14:36:11,587","14:36:16,308"
[],[],[],[],sábado,,"12:43:14,718","12:43:47,240"
[],[],[],[],domingo,,"14:58:47,138","14:59:24,642"
[],[],[],[],domingo,,"13:11:35,088","13:12:07,772"
[],[],[],[],domingo,,"14:06:51,761","14:07:02,685"
[],[],[],[],sábado,,"13:33:48,146","13:34:01,362"
[],[],[],"[{'inicio': '13:35:18,534', 'fin': '13:38:05,535'}]",domingo,,,
[],"[{'inicio': '13:39:24,841', 'fin': '13:41:36,887'}]",[],[],domingo,,,
[],[],[],[],domingo,Artesano,"13:57:07,983","13:58:29,752"
[],[],[],[],domingo,,"12:37:13,926","12:37:35,203"
[],[],[],[],viernes,,"13:57:20,277","13:57:35,198"
[],[],[],[],sábado,2 artesanos,"13:34:47,722","13:35:59,935"
[],[],[],[],sábado,,"12:16:45,034","12:17:12,887"
[],[],[],[],sábado,Artesani ,"12:44:56,237","12:47:04,901"
[],[],[],[],domingo,Artesano,"14:01:58,629","14:03:55,965"
"[{'inicio': '14:51:53,008', 'fin': '14:53:40,118'}]",[],[],[],domingo,Copa de 8 bolas,,
"[{'inicio': '12:36:24,558', 'fin': '12:39:10,459'}]",[],[],[],domingo,,,
[],[],[],[],domingo,,"13:47:37,669","13:48:11,728"
[],[],[],[],viernes,,"13:23:38,016","13:24:07,592"
[],[],[],[],domingo,,"13:04:34,232","13:04:49,442"
[],[],[],[],domingo,,"14:31:46,569","14:31:50,917"
[],"[{'inicio': '14:36:38,803', 'fin': '14:38:20,002'}]",[],[],domingo,Llego la quinta persona,,
[],[],[],[],domingo,,"13:59:36,662","13:59:51,712"
[],[],[],[],domingo,,"12:49:49,840","12:50:01,679"
[],[],[],[],viernes,,"13:59:56,563","14:00:12,051"
[],[],[],[],domingo,,"12:46:15,775","12:46:27,148"
"[{'inicio': '12:25:17,487', 'fin': '12:26:20,916'}]",[],[],[],sábado,,,
[],[],[],[],viernes,,"14:21:57,543","14:23:25,575"
"[{'inicio': '13:18:36,461', 'fin': '13:21:23,084'}]",[],[],[],viernes,,"13:20:00,616","13:20:23,421"
[],[],[],[],viernes,,"14:20:27,174","14:22:00,719"
[],[],[],[],domingo,,"14:18:58,727","14:19:14,749"
[],[],[],[],viernes,,"13:34:06,678","13:34:22,470"
[],[],[],[],viernes,,"12:56:20,410","12:56:50,548"
"[{'inicio': '13:45:52,383', 'fin': '13:48:29,815'}]",[],[],[],domingo,,,
[],"[{'inicio': '13:27:09,987', 'fin': '13:30:28,332'}]",[],[],domingo,,"13:28:00,896","13:28:54,266"
"[{'inicio': '13:17:26,075', 'fin': '13:18:15,195'}]",[],[],[],domingo,,,
"[{'inicio': '14:00:45,359', 'fin': '14:01:14,458'}]",[],[],[],sábado,,"14:00:28,388","14:00:44,468"
[],[],[],[],sábado,,"13:08:42,049","13:09:25,473"
[],[],[],[],sábado,,"12:52:48,064","12:53:32,410"
[],[],[],[],sábado,,"13:56:16,334","13:56:35,294"
[],[],[],[],sábado,,"12:51:55,569","12:52:20,836"
[],[],[],[],domingo,,"13:43:46,529","13:44:07,457"
"[{'inicio': '13:37:18,152', 'fin': '13:39:00,517'}]",[],[],[],domingo,,,
[],[],[],[],domingo,,"14:07:35,010","14:07:47,385"
[],[],[],[],domingo,,"14:46:23,003","14:46:32,528"
[],[],[],[],sábado,,"12:55:23,482","12:55:37,824"
[],[],[],"[{'inicio': '14:11:09,474', 'fin': '14:15:04,755'}]",domingo,,,
[],[],[],[],domingo,,"14:50:48,519","14:51:01,796"
[],[],[],[],sábado,,"12:20:58,948","12:21:15,301"
"[{'inicio': '13:14:23,467', 'fin': '13:14:35,608'}, {'inicio': '13:14:36,372', 'fin': '13:14:40,358'}]",[],[],[],sábado,,,
"[{'inicio': '14:54:15,675', 'fin': '14:56:10,535'}]",[],[],[],domingo,2 copas,,
[],[],[],[],viernes,,"13:58:17,856","13:58:59,466"
[],[],[],[],domingo,,"13:53:25,432","13:53:48,111"
[],[],[],[],domingo,,"12:11:43,325","12:12:04,482"
[],[],[],[],domingo,,"14:06:54,688","14:07:12,255"
"[{'inicio': '13:19:25,236', 'fin': '13:20:23,767'}]",[],[],[],domingo,,,
[],[],[],[],domingo,,"14:38:46,024","14:39:11,509"
[],"[{'inicio': '13:25:10,179', 'fin': '13:25:48,493'}]",[],[],sábado,,"13:25:15,763","13:25:39,618"
[],[],[],[],sábado,,"13:42:09,060","13:42:26,203"
[],[],[],[],domingo,,"14:32:03,056","14:32:17,132"
[],[],[],[],domingo,,"14:15:27,044","14:16:01,573"
[],[],[],[],domingo,,"13:50:42,610","13:51:29,455"
[],[],[],[],domingo,,"14:07:54,903","14:08:06,549"
[],[],[],[],domingo,,"12:45:34,704","12:45:54,551"
[],[],[],[],domingo,,"13:01:35,411","13:02:01,132"
[],[],"[{'inicio': '12:21:54,356', 'fin': '12:22:08,349'}]",[],sábado,Copa,,
[],"[{'inicio': '14:00:37,893', 'fin': '14:03:04,618'}]",[],[],domingo,,"14:00:33,539","14:00:42,545"
[],[],[],[],viernes,,"13:56:49,107","13:57:17,700"
[],[],[],"[{'inicio': '14:43:55,315', 'fin': '14:52:39,495'}]",domingo,,,
