id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
2Xlgz810hYTS4RYrQo4n,sábado,13:10:44.363000,"13:13:38,722","13:13:50,937","13:13:54,606",Tarjeta,
mIGjYE2JOvv1p7EmPFon,sábado,14:34:16.278000,"14:36:08,338","14:36:16,449","14:36:29,969",Tarjeta,
S1Irs59Tglkyx3qrLQO0,sábado,12:48:17.389000,"12:48:20,658","12:48:26,027","12:48:53,597",efectivo,
S1ksT6odOL26qxHO3a1j,sábado,14:28:57.971000,"14:29:59,757","14:30:04,787","14:30:08,171",efectivo,
mFFn1TmxZoqfv4rQMTTl,sábado,13:49:48.155000,"13:57:03,267","13:57:34,055","13:57:41,375",efectivo,
SV0hKJV4QxOjUZGYgweC,sábado,14:09:57.301000,"14:11:55,758","14:12:05,587","14:12:23,955",Tarjeta,
Zfiv6Txe9c2SjG06SwsX,sábado,12:12:34.945000,"12:13:05,508","12:13:17,767","12:13:23,837",efectivo,
SasjimhVmfcsKhuaOlj9,sábado,14:46:39.198000,"14:48:56,790","14:49:07,092","14:49:34,187",Tarjeta,
SenlQppFcHMmKXb3piOE,sábado,12:03:04.360000,"12:04:02,753","12:04:16,912","12:04:49,798",Tarjeta,
ShOTr7gQHgHvWUJMarpG,sábado,14:09:19.183000,"14:10:57,494","14:11:33,527","14:11:51,758",Tarjeta,
lnFOqdhevRvq3Gr5ZfMQ,sábado,14:10:42.287000,"14:12:30,233","14:12:47,135","14:12:56,113",efectivo,
TYG9sIAfLzCfRWhGCI6I,sábado,13:27:50.417000,"13:29:39,058","13:29:47,269","13:29:49,117",Tarjeta,
kYHwksMXe0TqwWJmaGbf,sábado,12:55:18.445000,"12:55:21,246","12:55:56,857","12:56:30,218",bono,
YEXN1bZSbVQAnSQHZbva,sábado,14:40:39.943000,"14:40:48,501","14:41:09,755","14:41:29,362",Tarjeta,
d8RSMOXt1qcYUhlRgA3Y,sábado,15:00:11.356000,"15:05:51,663","15:05:58,049","15:06:21,517",efectivo,
BjcqXWiEPQNpdKUhUdnP,sábado,13:49:22.541000,"13:54:26,943","13:54:52,361","13:59:47,057",Tarjeta,"La señora cogio el datáfono y lo manipuló ella, no la cajera y aparte se volvió a dañar jajajaja. Se dañó una segunda vez y la señora terminó pagando después mientras llamaba a alguien "
DeYzeaWu1a1b1vZI9vwZ,sábado,13:34:44.146000,"13:34:59,045","13:35:05,298","13:35:08,196",efectivo,
uLfk8JTj9ACQC01WkSNX,sábado,13:51:53.042000,"13:57:44,210","13:58:30,357","13:59:24,526",efectivo,
DSnerjmuG2IL4U3tLkrM,sábado,12:52:18.029000,"12:52:45,783","12:53:03,380","12:53:29,219",Tarjeta,
HDZOLOliYVfihJ1ueFhJ,sábado,12:19:10.633000,"12:19:15,637","12:19:22,710","12:19:35,329",Tarjeta,
D6yEwD3zgewWscm4C8T7,sábado,12:37:54.956000,"12:37:57,376","12:38:09,637","12:38:21,183",efectivo,
veddK4v3T6nJwgbNl9p9,sábado,13:34:30.375000,"13:34:41,426","13:34:51,172","13:34:52,923",Tarjeta,
CfcbL08jTXOeP4fFLPrp,sábado,14:38:09.671000,"14:38:19,871","14:38:37,863","14:39:22,601",efectivo,
CTADy7klCX0IwspsQcJE,sábado,14:44:18.872000,"14:45:02,966","14:45:07,913","14:45:17,803",Tarjeta,
eT8anTWunJlfoHiKV2Zk,sábado,14:44:02.344000,"14:44:09,569","14:44:14,172","14:44:35,065",efectivo,
CSrXbOed9xALaLMejDfI,sábado,14:16:35.824000,"14:16:37,061","14:16:42,970","14:17:25,424",Tarjeta,
vfzlKn5N5TaSYh831SxS,sábado,14:53:40.308000,"14:55:18,679","14:55:35,691","14:55:46,094",efectivo,"No se a donde se fur la cajera, la cola no avanza por un rato, parece que se habia quedado sin sencillo"
C4nLjSdlCnVX2W0TzzCn,sábado,13:13:17.366000,"13:14:31,044","13:14:46,138","13:15:02,200",Tarjeta,
C4jaMWBFv4bWyQXqab1L,sábado,13:08:53.230000,"13:12:46,262","13:13:19,883","13:13:33,328",efectivo,
ycPLnKUePtMQCdITrIIO,sábado,12:14:44.612000,"12:15:13,197","12:15:29,723","12:16:10,692",efectivo,Una bebé estaba llorando porque no quería hacer fila kajajaja
7WaJy4lx4BucuPJPAMwF,sábado,14:46:28.234000,"14:48:31,129","14:48:47,639","14:48:52,992",efectivo,
7uvngesv7HPe6KLSsqs6,sábado,15:00:12.953000,"15:06:57,046","15:07:05,630","15:07:25,542",efectivo,"Ya, aqui corto por hoy"
